Country,Total_Meat_Per_Capita_Sum,Latitude,Longitude
Algeria,17.753628473,28.0339,1.6596
Argentina,86.35178081100001,-38.4161,-63.6167
Australia,95.32147797500001,-25.2744,133.7751
Bangladesh,3.559446494,23.685,90.3563
Brazil,79.72972653,-14.235,-51.9253
Canada,69.912155046,56.1304,-106.3468
Chile,72.22517428799999,-35.6751,-71.543
China,53.694507335,35.8617,104.1954
Colombia,45.363149754999995,4.5709,-74.2973
Egypt,19.901774591,26.8206,30.8025
Ethiopia,4.486476177,9.145,40.4897
Ghana,10.159366905,7.9465,-1.0232
Haiti,14.858679758,18.9712,-72.2852
India,3.395937119,20.5937,78.9629
Indonesia,11.926514152,-0.7893,113.9213
Iran,30.54343165,32.4279,53.688
Israel,80.193844363,31.0461,34.8516
Japan,36.961744709,36.2048,138.2529
Kazakhstan,44.660803586,48.0196,66.9237
"Korea, Rep.",57.491757771,35.9078,127.7669
Malaysia,55.882610742999994,4.2105,101.9758
Mexico,49.334587477,23.6345,-102.5528
Mozambique,7.747261837,-18.6657,35.5296
New Zealand,74.084403297,-40.9006,174.886
Nigeria,5.89433393,9.082,8.6753
Pakistan,13.078210117000001,30.3753,69.3451
Paraguay,54.657245009,-23.4425,-58.4438
Peru,48.577600008000005,-9.19,-75.0152
Philippines,30.40059341,12.8797,121.774
Russian Federation,63.568672615000004,61.524,105.3188
Saudi Arabia,54.875848682,23.8859,45.0792
South Africa,50.675479178,-30.5595,22.9375
Sudan,0.0152591781,12.8628,30.2176
Tanzania,7.076539759,-6.369,34.8888
Thailand,23.263538502,15.87,100.9925
Turkey,31.047882961000003,38.9637,35.2433
Ukraine,46.161493737,48.3794,31.1656
United States,98.314927316,37.0902,-95.7129
Uruguay,83.18863167800001,-32.5228,-55.7658
Vietnam,56.829516325,14.0583,108.2772
Zambia,14.016614647,-13.1339,27.8493
